Source,Target,Weight
abacaxi ricaço,pineapple,53
abacaxi ricaço,havana club 3 year old rum,3.04326
abacaxi ricaço,lime juice,0.760815
abacaxi ricaço,white caster sugar,0.50721
abbey,rutte dry gin,1.52163
abbey,lillet blanc,0.760815
abbey,orange juice,0.760815
abbey,angostura aromatic bitters,0.5
a.b.c. cocktail,mint leaves,0.7
a.b.c. cocktail,tawny port,1.01442
a.b.c. cocktail,rémy martin 1738 cognac,1.01442
a.b.c. cocktail,luxardo maraschino liqueur,0.253605
a.b.c. cocktail,sugar syrup,0.16907
absinthe cocktail,la fée parisienne absinthe,1.01442
absinthe cocktail,chilled water,2.53605
absinthe cocktail,sugar syrup,0.253605
absinthe frappé,la fée parisienne absinthe,1.52163
absinthe frappé,anisette liqueur,0.50721
absinthe frappé,chilled water,1.52163
absinthe frappé,sugar syrup,0.253605
absinthe sour,la fée parisienne absinthe,0.84535
absinthe sour,sugar syrup,0.33814
absinthe sour,lemon juice,0.50721
absinthe sour,pasteurised egg white,0.50721
absinthe sour,peychaud's or other creole-style bitters,0.5
absinthe suisesse,la fée parisienne absinthe,1.52163
absinthe suisesse,giffard orgeat syrup,0.50721
absinthe suisesse,pasteurised egg white,1.01442
absinthe suisesse,milk,0.50721
absinthe suisesse,single cream / half-and-half,0.50721
absinthe without leave,pisang ambon green banana liqueur,0.760815
absinthe without leave,irish cream liqueur,0.760815
absinthe without leave,la fée parisienne absinthe,0.50721
absolutely fabulous,ketel one vodka,1.01442
absolutely fabulous,cranberry juice,1.52163
absolutely fabulous,brut champagne,1.52163
acapulco,patrón reposado tequila,1.01442
acapulco,havana club 3 year old rum,1.01442
acapulco,grapefruit juice,1.01442
acapulco,pineapple juice,2.53605
acapulco,sugar syrup,0.50721
acapulco daiquiri,bacardi carta blanca light rum,1.52163
acapulco daiquiri,de kuyper triple sec,0.50721
acapulco daiquiri,lemon juice,0.760815
acapulco daiquiri,lime cordial,0.760815
acapulco daiquiri,pasteurised egg white,0.50721
ace,rutte dry gin,1.6907
ace,giffard grenadine syrup,0.50721
ace,single cream / half-and-half,1.01442
ace,pasteurised egg white,0.50721
ace of clubs daiquiri,dutch cacao white crème de cacao,0.50721
ace of clubs daiquiri,havana club 3 year old rum,2.02884
ace of clubs daiquiri,lime juice,0.50721
ace of clubs daiquiri,sugar syrup,0.16907
achilles heel,bison grass vodka,2.02884
