Id,Label,Type,Glass,Origin_State,Origin_Country,Interest_Rating,Average_Time,Taste_Profile,CommunityID
thyme for…,thyme for…,Cocktail,Coupe glass,,,5.0,20.0,aromatic,3
blueberry cocktail,blueberry cocktail,Cocktail,Martini glass,,Cuba,4.5,20.0,tarty,1
pomegranate bellini,pomegranate bellini,Cocktail,Flute glass,Veneto,Italy,4.5,20.0,sweet,1
irish cocktail,irish cocktail,Cocktail,Nick & Nora glass,Connecticut,United States,4.0,20.0,whisky,3
bumble bee,bumble bee,Cocktail,Shot glass,,South American,3.3,20.0,coffee,0
santiago moment,santiago moment,Cocktail,Coupe glass,,,,20.0,dry,5
blitz,blitz,Cocktail,Old-fashioned glass,,United Kingdom,,20.0,sappy,4
barraquito canario,barraquito canario,Cocktail,Boston & shot glass,,,,20.0,milky,0
bajan passion,bajan passion,Cocktail,Coupe glass,,,3.8,19.67,old,5
michael's clover club cocktail no.3 (difford's recipe),michael's clover club cocktail no.3 (difford's recipe),Cocktail,Coupe glass,,,4.75,19.5,aromatic,1
french tart,french tart,Cocktail,Collins glass,,France,4.75,19.0,cola,1
praline pecan pie,praline pecan pie,Cocktail,Coupe glass,,,4.12,18.33,vanilla,3
hot rum punch,hot rum punch,Cocktail,Toddy glass,,,5.0,17.5,old,1
summer sour,summer sour,Cocktail,Old-fashioned glass,,,5.0,17.5,spirity,1
pink hound,pink hound,Cocktail,Martini glass,,,4.33,17.33,dry,5
pear martini,pear martini,Cocktail,Martini glass,,Poland,4.83,17.0,fruity,1
rosemary tuck,rosemary tuck,Cocktail,Rocks glass,,,4.5,17.0,dry,3
sugar plum,sugar plum,Cocktail,Coupe glass,,São Tomé and Príncipe,4.43,16.67,aromatic,5
golden bird,golden bird,Cocktail,Martini glass,,,4.3,16.5,tangy,5
california root beer,california root beer,Cocktail,Sling glass,,North America,4.2,16.5,spirity,1
hibiscus margarita,hibiscus margarita,Cocktail,Martini glass,Texas,United States,4.83,16.25,earthy,5
plum cocktail,plum cocktail,Cocktail,Martini glass,,Japan,4.9,16.0,sweet,1
terroir,terroir,Cocktail,Coupe glass,,France,4.4,16.0,aromatic,3
mango cocktail,mango cocktail,Cocktail,Coupe glass,,Asia,4.25,16.0,fresh,5
mint limeade (non-alcoholic),mint limeade (non-alcoholic),Cocktail,Collins glass,,Egypt,4.83,15.67,tangy,1
ruby vanilla,ruby vanilla,Cocktail,Collins glass,,,4.33,15.67,vanilla,5
gingertini,gingertini,Cocktail,Martini glass,,,5.0,15.0,dry,3
satsuma cocktail,satsuma cocktail,Cocktail,Coupe glass,California,United States,5.0,15.0,tarty,3
zabaglione cocktail,zabaglione cocktail,Cocktail,Martini glass,Piedmont,Italy,5.0,15.0,creamy,0
clairvoyant,clairvoyant,Cocktail,Coupe glass,Metropolitan France,France,5.0,15.0,malty,3
rachel,rachel,Cocktail,Highball (max 10oz/300ml),Washington,United States,5.0,15.0,aromatic,1
coffee thyme,coffee thyme,Cocktail,Coupe glass,,,5.0,15.0,aromatic,3
poision lips,poision lips,Cocktail,Coupe glass,,,5.0,15.0,plummy,3
french governor,french governor,Cocktail,Flute glass,,France,5.0,15.0,dry,1
unión,unión,Cocktail,Old-fashioned glass,Georgia,United States,5.0,15.0,dry,5
ginger cake,ginger cake,Cocktail,Coupe glass,,,5.0,15.0,dry,5
amaro paloma,amaro paloma,Cocktail,Collins glass,,,5.0,15.0,bitter,5
white sangria,white sangria,Cocktail,Hurricane glass,,Spain,4.85,15.0,sweet,1
cherry mojito,cherry mojito,Cocktail,Collins glass,,Africa,4.8,15.0,salty,1
maestro smash,maestro smash,Cocktail,Rocks glass,,Italy,4.8,15.0,old,1
passion fruit sour,passion fruit sour,Cocktail,Coupe glass,,,4.65,15.0,Unknown,4
apple butter old fashioned,apple butter old fashioned,Cocktail,Double old-fashioned,,,4.55,15.0,vanilla,1
brandied cherries,brandied cherries,Cocktail,Rocks glass,,,4.5,15.0,earthy,4
hot buttered rum cocktail,hot buttered rum cocktail,Cocktail,Toddy glass,British Columbia,United States,4.2,15.0,rummy,1
groovy,groovy,Cocktail,Coupe glass,Tennessee,United States,4.2,15.0,vanilla,6
jeanie's orange brulée,jeanie's orange brulée,Cocktail,Coupe glass,,,4.15,15.0,dry,0
chubacabras daiquiri,chubacabras daiquiri,Cocktail,Martini glass,,,4.1,15.0,dry,5
lemon tart,lemon tart,Cocktail,Coupe glass,,France,,15.0,dry,1
rangpur cherry,rangpur cherry,Cocktail,Martini (large 10oz) glass,,,,15.0,tangy,1
jerry's old mexican friend,jerry's old mexican friend,Cocktail,Coupe glass,,,,15.0,smokey,4
boxing day fizz,boxing day fizz,Cocktail,Flute glass,,,,15.0,tangy,4
vegan passion bergamot sour,vegan passion bergamot sour,Cocktail,Coupe glass,,,,15.0,citrusy,5
red marauder,red marauder,Cocktail,Martini glass,,,4.75,14.67,aromatic,5
irish buck,irish buck,Cocktail,Collins glass,,Ireland,4.67,14.67,spicy,3
black mussel,black mussel,Cocktail,Flute glass,,France,3.75,14.67,dry,1
manchester special rum punch,manchester special rum punch,Cocktail,Double old-fashioned,,,4.75,14.5,rummy,5
sticky toffee fizz,sticky toffee fizz,Cocktail,Flute glass,,,4.5,14.5,sweet,0
cola de mono,cola de mono,Cocktail,Martini glass,,Chile,3.5,14.5,sweet,0
afrodite,afrodite,Cocktail,Rocks glass,,,5.0,14.0,sweet,1
bourbon peach tea,bourbon peach tea,Cocktail,Double old-fashioned,,,4.75,14.0,old,5
kentucky pear,kentucky pear,Cocktail,Martini glass,,United States,4.65,14.0,vanilla,1
cinnamon 'martini',cinnamon 'martini',Cocktail,Coupe glass,,,4.4,14.0,vanilla,0
the lady in red,the lady in red,Cocktail,Coupe glass,Maharashtra,India,4.53,13.75,tarty,4
pear tree cocktail,pear tree cocktail,Cocktail,Martini glass,,Japan,4.43,13.6,fruity,1
hot passion,hot passion,Cocktail,Collins glass,,Vietnam,3.0,13.5,tangy,5
rosemary grapefruit vodka,rosemary grapefruit vodka,Cocktail,Rocks glass,,,4.85,13.4,tarty,1
caramel apple,caramel apple,Cocktail,Rocks glass,,,4.97,13.33,tarty,0
honey apple cocktail,honey apple cocktail,Cocktail,Martini glass,,,4.9,13.33,herby,1
lavender honey sour,lavender honey sour,Cocktail,Flute glass,,,4.3,13.25,whisky,1
dominik's pear tree cocktail,dominik's pear tree cocktail,Cocktail,Coupe glass,,,4.33,13.2,tarty,4
salted gingerbread cocktail,salted gingerbread cocktail,Cocktail,Martini glass,,,4.63,13.0,tarty,3
jalisco,jalisco,Cocktail,Martini glass,Jalisco,Mexico,3.6,13.0,earthy,1
pear shaped no.1 (deluxe version),pear shaped no.1 (deluxe version),Cocktail,Martini glass,,,4.63,12.67,dry,1
pear shaped no.2 (popular version),pear shaped no.2 (popular version),Cocktail,Collins glass,,,4.63,12.67,tarty,1
hot apple cider,hot apple cider,Cocktail,Toddy glass,,,5.0,12.5,sweet,1
rhubarb mule,rhubarb mule,Cocktail,Collins glass,,Canada,5.0,12.5,earthy,4
rhubarb sour,rhubarb sour,Cocktail,Old-fashioned glass,,,5.0,12.5,tart,1
black gold,black gold,Cocktail,Old-fashioned glass,,Sweden,4.75,12.5,old,3
irish espresso'tini,irish espresso'tini,Cocktail,Martini glass,,,4.5,12.5,creamy,0
prickly pear mule,prickly pear mule,Cocktail,Collins glass,,,4.5,12.25,fruity,1
tom & jerry,tom & jerry,Cocktail,Toddy glass,,United Kingdom,4.5,12.0,sweet,1
smoky pineapple margarita,smoky pineapple margarita,Cocktail,Coupe glass,,,5.0,11.67,smokey,5
watermelon fizz,watermelon fizz,Cocktail,Collins glass,,Netherlands,4.75,11.67,tangy,5
nice pear,nice pear,Cocktail,Coupe glass,,,4.63,11.67,fruity,1
mac orange,mac orange,Cocktail,Old-fashioned glass,,,4.75,11.5,dry,3
celery wine,celery wine,Cocktail,Nick & Nora glass,,,4.75,11.5,fresh,6
tootsie roll,tootsie roll,Cocktail,Nick & Nora glass,Volga Federal District,Russia,4.67,11.5,rummy,3
the cross-well tart,the cross-well tart,Cocktail,Coupe glass,,,4.5,11.5,vanilla,4
clover leaf martini no.2 (modern formula),clover leaf martini no.2 (modern formula),Cocktail,Martini glass,,,4.42,11.5,dry,1
daisy de santiago,daisy de santiago,Cocktail,Wine glass,Quebec,Canada,4.0,11.5,old,5
hot cross bun 'martini',hot cross bun 'martini',Cocktail,Coupe glass,,New Zealand,4.0,11.5,vanilla,0
ramos gin fizz,ramos gin fizz,Cocktail,Collins glass,North Rhine-Westphalia,Germany,5.0,11.0,sweet,1
butterfly cocktail,butterfly cocktail,Cocktail,Martini glass,,Italy,5.0,11.0,sweet,1
reggae rum punch,reggae rum punch,Cocktail,Collins glass,,Jamaica,4.33,11.0,rummy,5
liquorice all sort,liquorice all sort,Cocktail,Collins glass,,,4.25,11.0,licorice,0
mumbai martini,mumbai martini,Cocktail,Martini glass,,India,4.0,11.0,tangy,0
lazy afternoon,lazy afternoon,Cocktail,Old-fashioned glass,,,3.8,11.0,tangy,1
kentucky mac,kentucky mac,Cocktail,Old-fashioned glass,,,3.5,11.0,tarty,1
hot wine lemonade,hot wine lemonade,Cocktail,Toddy glass,,,3.0,11.0,tart,1
mariposa,mariposa,Cocktail,Coupe glass,,Spain,,11.0,dry,1
cucumber and elderflower gin martini,cucumber and elderflower gin martini,Cocktail,Nick & Nora glass,,,4.93,10.75,aromatic,1
christmas cosmopolitan,christmas cosmopolitan,Cocktail,Coupe glass,,,4.6,10.75,tangy,5
cherry sour bourbon,cherry sour bourbon,Cocktail,Old-fashioned glass,,,4.5,10.67,sour,1
peach tea cocktail,peach tea cocktail,Cocktail,Collins glass,,,4.42,10.5,rummy,1
chocolate biscuit,chocolate biscuit,Cocktail,Coupe glass,,Mauritania,5.0,10.0,aromatic,0
coffee batida,coffee batida,Cocktail,Old-fashioned glass,,Brazil,5.0,10.0,watery,0
french kiss no.2,french kiss no.2,Cocktail,Martini glass,,,5.0,10.0,spirity,0
gator bite,gator bite,Cocktail,Coupe glass,,,5.0,10.0,citrusy,5
mango margarita (served 'straight up'),mango margarita (served 'straight up'),Cocktail,Coupe glass,,,5.0,10.0,earthy,5
palm springs,palm springs,Cocktail,Collins glass,,Spain,5.0,10.0,tangy,5
pink grapefruit margarita,pink grapefruit margarita,Cocktail,Coupe glass,,Mexico,5.0,10.0,earthy,5
plum sour,plum sour,Cocktail,Old-fashioned glass,,Japan,5.0,10.0,sweet,1
salty dog,salty dog,Cocktail,Fizz or Highball (8oz to 10oz),,,5.0,10.0,spirity,1
tequila sour,tequila sour,Cocktail,Old-fashioned glass,,Mexico,5.0,10.0,earthy,1
oranjey cocktail,oranjey cocktail,Cocktail,Martini glass,,,5.0,10.0,spirity,3
tonka,tonka,Cocktail,Martini glass,Catalonia,Spain,5.0,10.0,whiskey,3
to be oranged cocktail,to be oranged cocktail,Cocktail,Coupe glass,,,5.0,10.0,earthy,3
le very french 75,le very french 75,Cocktail,Wine glass,,,5.0,10.0,bitter,3
north end margarita,north end margarita,Cocktail,Coupe glass,,,5.0,10.0,earthy,5
cherry tequila sour,cherry tequila sour,Cocktail,Sour or Martini/Coupette glass,,,5.0,10.0,earthy,1
strawberry lemonade,strawberry lemonade,Cocktail,Copa glass,,,5.0,10.0,tangy,5
from paris with love,from paris with love,Cocktail,Collins glass,,France,5.0,10.0,tarty,1
italian greyhound,italian greyhound,Cocktail,Old-fashioned glass,,Italy,5.0,10.0,tarty,1
totally beachin',totally beachin',Cocktail,Martini glass,,,5.0,10.0,spirity,4
natalia's floral french 75 cocktail,natalia's floral french 75 cocktail,Cocktail,Flute glass,,,5.0,10.0,dry,1
shelby's cucumber jalapeño tequila,shelby's cucumber jalapeño tequila,Cocktail,Double old-fashioned,,,5.0,10.0,sweet,1
watermelon refresh,watermelon refresh,Cocktail,Collins glass,,,5.0,10.0,tangy,1
blackberry pineapple rum cocktail,blackberry pineapple rum cocktail,Cocktail,Rocks glass,,,5.0,10.0,syrupy,5
violet sidecar,violet sidecar,Cocktail,Coupe glass,,,5.0,10.0,whiskey,1
bloody sour,bloody sour,Cocktail,Double old-fashioned,,,5.0,10.0,luscious,4
watermelon cooler,watermelon cooler,Cocktail,Collins glass,,Morocco,4.93,10.0,tangy,5
beetle jeuse,beetle jeuse,Cocktail,Collins glass,,,4.9,10.0,tarty,1
settle petal,settle petal,Cocktail,Martini glass,Lazio,Italy,4.9,10.0,dry,1
spicy passion fruit margarita,spicy passion fruit margarita,Cocktail,Double old-fashioned,,,4.9,10.0,smokey,5
miami daiquiri,miami daiquiri,Cocktail,Martini glass,,,4.8,10.0,dry,3
mastiha sour,mastiha sour,Cocktail,Old-fashioned glass,,,4.8,10.0,bubbly,1
vodka mojito,vodka mojito,Cocktail,Collins glass,,,4.8,10.0,spirity,1
hot buttered whiskey,hot buttered whiskey,Cocktail,Toddy glass,,Canada,4.75,10.0,vanilla,1
watermelon & basil smash,watermelon & basil smash,Cocktail,Collins glass,,,4.75,10.0,earthy,1
peruvian elder sour,peruvian elder sour,Cocktail,Coupe glass,,,4.75,10.0,sweet,1
tears of joy,tears of joy,Cocktail,Coupe glass,,France,4.75,10.0,sweet,5
strawberry gimlet,strawberry gimlet,Cocktail,Martini glass,,,4.75,10.0,tangy,5
cartola,cartola,Cocktail,Old-fashioned glass,,Brazil,4.75,10.0,coffee,0
pineapple margarita,pineapple margarita,Cocktail,Coupe glass,Baja California,Mexico,4.73,10.0,earthy,5
blueberry tea cocktail,blueberry tea cocktail,Cocktail,Toddy glass,,Netherlands,4.7,10.0,coffee,0
fourth of july cocktail,fourth of july cocktail,Cocktail,Martini glass,,United States,4.7,10.0,vanilla,0
